brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
HP,Pavilion,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,74490,85359,12,4.3,10,0
HP,Pavilion,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,58340,74839,22,4.0,69,6
acer,Aspire,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,55999,75999,26,4.5,6,0
DELL,Inspiron,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,67990,89849,24,4.4,93,9
ASUS,VivoBook,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,59990,80990,25,4.5,11,2
ASUS,TUF,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,6,Casual,15.6,1,No,Yes,82990,104990,20,4.4,262,31
DELL,Vostro,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,No,Yes,64190,85391,24,0.0,0,0
realme,Book(Slim),Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,60999,69999,12,4.4,3470,505
HP,Spectre,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,13.3,0,Yes,No,97990,114749,14,5.0,3,1
ASUS,VivoBook,Intel,Core i5,9th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,54990,76990,28,4.4,1681,227
Lenovo,Thinkbook,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15,1,No,Yes,59990,115167,47,4.3,37,2
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,53990,79890,32,4.2,61,2
HP,Pavilion,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,66999,79445,15,4.4,17,1
acer,Intel,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,60990,89999,32,4.4,17,1
DELL,G15,Intel,Core i5,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,No,79990,103102,22,0.0,0,0
ASUS,TUF,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,No,63990,74990,14,0.0,0,0
HP,Pavilion,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,63990,77327,17,4.7,17,1
ASUS,VivoBook,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,59990,80990,25,0.0,0,0
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,55990,89790,37,0.0,0,0
ASUS,VivoBook,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,59990,80990,25,0.0,0,0
HP,Pavilion,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,63990,75023,14,4.7,3,0
DELL,Vostro,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,No,Yes,69490,92552,24,0.0,0,0
DELL,Inspiron,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,89390,109353,18,0.0,0,0
ASUS,ZenBook,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,0,No,No,74990,86990,13,0.0,0,0
Lenovo,Thinkbook,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,3,Yes,Yes,64990,151557,57,4.0,48,12
Lenovo,Legion,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,Yes,66490,93690,29,4.4,282,36
DELL,Inspiron,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,89702,0,0,0.0,0,0
Lenovo,Ideapad,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,70990,104890,32,4.2,67,4
Infinix,INBook,Intel,Core i5,10th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,42490,59999,29,4.1,383,65
ASUS,VivoBook,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,17.3,1,Yes,Yes,58990,85990,31,0.0,0,0
Lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,57500,86720,33,0.0,0,0
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,Yes,Yes,79990,97946,18,4.6,23,2
MSI,Modern,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,0,No,No,56541,61990,8,4.4,677,87
Lenovo,ThinkBook,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,13,1,No,Yes,64990,120708,46,4.4,46,4
ASUS,ASUS,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,6,Casual,16,1,No,No,84990,129990,34,5.0,5,0
HP,Pavilion,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,72500,80900,10,4.4,40,3
Lenovo,Yoga,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,87990,125890,30,4.7,28,6
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,69490,69736,0,4.2,72,7
Lenovo,Thinkbook,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,3,Yes,Yes,68990,159180,56,4.6,44,8
ASUS,ZenBook,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,No,105990,140990,24,4.4,59,11
MSI,Prestige,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,No,79990,95990,16,0.0,0,0
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,69990,104890,33,4.6,10,2
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,71090,89849,20,4.1,44,6
DELL,XPS,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,114990,115729,0,0.0,0,0
APPLE,MacBook,Intel,Core i5,10th,8 GB GB,LPDDR4X,512 GB,0 GB,Mac,64-bit,0,Casual,16,1,No,No,159990,174900,8,4.4,32,5
Lenovo,ThinkPad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,3,No,No,147000,0,0,0.0,0,0
HP,Envy,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,16,1,No,Yes,106490,138366,23,4.7,3,0
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,16,1,No,Yes,70990,113290,37,4.6,11,3
HP,Spectre,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,16,0,Yes,No,111999,146194,23,0.0,0,0
HP,HP,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,16,1,Yes,Yes,76990,99203,22,4.4,14,2
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,77990,98200,20,4.5,31,5
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,16,1,No,Yes,88990,90605,1,3.8,19,2
ASUS,ZenBook,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,0,No,No,84990,104990,19,0.0,0,0
ASUS,ZenBook,Intel,Core i5,11th,8 GB GB,LPDDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,0,No,No,84990,104990,19,0.0,0,0
ASUS,ASUS,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,6,Casual,16,1,No,No,88990,129990,31,0.0,0,0
HP,HP,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,Yes,Yes,114999,138166,16,0.0,0,0
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,16,1,Yes,Yes,82990,94600,12,4.5,21,2
Lenovo,Yoga,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,Yes,Yes,82990,117490,29,0.0,0,0
ASUS,ZenBook,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,No,114990,140990,18,0.0,0,0
HP,Spectre,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,No,129999,155436,16,0.0,0,0
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,16,0,No,No,71290,95136,25,0.0,0,0
MSI,Prestige,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,No,79990,93489,14,4.9,11,4
Lenovo,Yoga,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,Yes,91999,92000,0,4.6,16,2
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,78900,84900,7,3.6,16,1
Nokia,PureBook,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,55990,82990,32,4.1,117,31
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,60990,93690,34,3.9,14,6
Avita,Liber,Intel,Core i5,7th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,0,No,No,65556,79990,18,0.0,0,0
DELL,Inspiron,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,70190,90783,22,3.5,6,3
Avita,Liber,Intel,Core i5,7th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,0,No,No,65556,79990,18,0.0,0,0
ASUS,TUF,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,No,76990,105990,27,0.0,0,0
Nokia,PureBook,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,52790,82990,36,4.0,5,0
Avita,Liber,Intel,Core i5,7th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,0,No,No,65556,79990,18,0.0,0,0
Avita,Liber,Intel,Core i5,8th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,44990,76990,41,3.4,17,3
ASUS,Intel,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,13.3,1,Yes,Yes,84990,115990,26,3.9,17,2
Lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,Yes,Yes,86999,109000,20,4.7,3,0
HP,Pavilion,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,15.6,1,No,No,78000,89000,12,4.4,512,85
Avita,Liber,Intel,Core i5,8th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,73063,76990,5,3.4,17,3
Avita,Liber,Intel,Core i5,8th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,73063,76990,5,3.4,17,3
HP,HP,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,14,1,No,Yes,100990,113000,10,0.0,0,0
Lenovo,Ideapad,Intel,Core i5,8th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,74990,83458,10,3.3,3,1
ASUS,ROG,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,0,No,No,75990,101990,25,4.6,1365,137
ASUS,ASUS,Intel,Core i5,11th,8 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,75990,116990,35,4.5,368,48
ASUS,TUF,Intel,Core i5,11th,8 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,4,Gaming,17.3,1,No,Yes,77990,115990,32,4.4,202,26
ASUS,ROG,Intel,Core i5,10th,8 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,No,77990,149990,48,4.5,187,26
APPLE,MacBook,Intel,Core i5,10th,16 GB GB,LPDDR4X,1024 GB,0 GB,Mac,64-bit,0,Casual,13,1,No,No,179990,194900,7,4.7,31,3
APPLE,MacBook,Intel,Core i5,10th,16 GB GB,LPDDR4X,1024 GB,0 GB,Mac,64-bit,0,Casual,13,1,No,No,179990,194900,7,4.8,91,5
ASUS,TUF,Intel,Core i5,11th,8 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,4,Casual,16,1,No,No,87990,126990,30,0.0,0,0
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,0,No,No,74190,83417,11,4.5,21,3
Lenovo,ThinkBook,Intel,Core i5,11th,8 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,64990,121608,46,3.0,4,0
Lenovo,ThinkPad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,512 GB,Windows,64-bit,0,ThinNlight,16,3,Yes,No,155411,0,0,0.0,0,0
acer,Aspire,Intel,Core i5,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,49990,65999,24,0.0,0,0
acer,Aspire,Intel,Core i5,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,46990,56999,17,3.8,253,28
DELL,Vostro,Intel,Core i5,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,48990,70286,30,3.6,470,46
HP,Pavilion,Intel,Core i5,8th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,64990,68270,4,4.3,23,4
HP,15q,Intel,Core i5,8th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,46790,50190,6,4.2,3062,325
acer,Swift,Intel,Core i5,8th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,No,72964,73199,0,4.2,18,6
HP,250,Intel,Core i5,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,1,No,Yes,48790,54786,10,3.4,11,1
acer,Aspire,Intel,Core i5,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,No,56491,0,0,3.2,30,6
ASUS,VivoBook,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,32-bit,0,Casual,15.6,1,No,Yes,50990,70990,28,4.3,1188,127
ASUS,VivoBook,Intel,Core i5,10th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,55990,81990,31,4.5,23,0
acer,Aspire,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,57990,69999,17,4.6,32,1
ASUS,VivoBook,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,52990,72990,27,0.0,0,0
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,57990,74833,22,4.2,47,0
acer,Aspire,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,56990,64999,12,4.0,27,2
acer,Travelmate,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14,0,No,No,55490,60000,7,3.8,8,3
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,No,62490,86199,27,3.9,157,20
ASUS,VivoBook,Intel,Core i5,11th,16 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,64990,85990,24,4.7,10,1
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,59990,93690,35,4.3,52,4
ASUS,VivoBook,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,60190,78990,23,4.4,33,4
ASUS,VivoBook,Intel,Core i5,9th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,54490,77990,30,4.3,343,47
Lenovo,Legion,Intel,Core i5,9th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Casual,15.6,1,No,Yes,60990,86690,29,4.3,131,17
DELL,Inspiron,Intel,Core i5,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.9,1,No,Yes,55790,60078,7,4.2,41,4
ASUS,VivoBook,Intel,Core i5,11th,16 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,64990,85990,24,4.3,328,51
DELL,Vostro,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,54990,80284,31,3.8,353,28
HP,Pavilion,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,71990,87717,17,4.3,127,20
DELL,3511,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,No,69900,87320,19,0.0,0,0
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,65990,99290,33,4.2,241,19
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,2,Casual,15.6,0,No,No,71695,75732,5,4.2,153,16
acer,Travelmate,Intel,Core i5,11th,16 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14,0,No,No,62490,85000,26,3.4,8,0
DELL,Inspiron,Intel,Core i5,8th,8 GB GB,DDR4,0 GB,2048 GB,Windows,64-bit,2,Casual,15.6,1,No,Yes,62317,0,0,4.0,377,53
Avita,Liber,Intel,Core i7,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,73990,79990,7,0.0,0,0
Avita,Liber,Intel,Core i7,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,73990,79990,7,0.0,0,0
Avita,Liber,Intel,Core i7,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,73990,79990,7,0.0,0,0
Avita,Liber,Intel,Core i7,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,73990,79990,7,0.0,0,0
Avita,Liber,Intel,Core i7,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,73990,79990,7,0.0,0,0
Avita,Liber,Intel,Core i7,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,73990,79990,7,0.0,0,0
ASUS,VivoBook,Intel,Core i7,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,57990,80990,28,4.3,76,9
ASUS,VivoBook,Intel,Core i7,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,61990,88990,30,4.5,11,2
MSI,GF63,Intel,Core i7,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,2,No,No,79990,95990,16,4.5,484,56
Lenovo,IdeaPad,Intel,Core i7,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,68990,99290,30,4.5,44,2
Mi,Notebook,Intel,Core i7,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,No,No,59490,65999,9,4.2,399,40
Lenovo,IdeaPad,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,85990,125890,31,4.4,77,10
Lenovo,Legion,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,Yes,99990,153490,34,4.4,11,3
Infinix,X1,Intel,Core i7,10th,16 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,8,Casual,14,0,No,No,54990,69999,21,4.3,57,14
ASUS,VivoBook,Intel,Core i7,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,77990,96990,19,4.3,21,5
Lenovo,IdeaPad,Intel,Core i7,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,79990,118890,32,4.0,5,2
HP,Pavilion,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,Yes,93190,118776,21,5.0,4,0
ASUS,ZenBook,Intel,Core i7,11th,16 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,13.3,1,No,Yes,94990,122990,22,0.0,0,0
Lenovo,Thinkbook,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,3,Yes,Yes,84990,109696,22,4.5,13,2
HP,Envy,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,13.3,1,Yes,Yes,102990,114751,10,4.7,11,2
ASUS,ASUS,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,16,0,No,No,94990,101990,6,4.5,118,15
HP,Envy,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,104000,118776,12,0.0,0,0
HP,Pavilion,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,16,1,No,Yes,90190,107262,15,4.3,6,1
MSI,Prestige,Intel,Core i7,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,16,1,No,No,109990,134990,18,4.3,138,30
MSI,Prestige,Intel,Core i7,11th,16 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,No,89990,99240,9,0.0,0,0
HP,Spectre,Intel,Core i7,10th,16 GB GB,LPDDR3,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,239759,0,0,0.0,0,0
DELL,XPS,Intel,Core i7,8th,16 GB GB,DDR3,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,121890,139104,12,1.7,3,0
MSI,Katana,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,16,2,No,No,94990,117990,19,0.0,0,0
HP,Pavilion,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,16,1,No,Yes,92000,113019,18,4.5,8,1
HP,Spectre,Intel,Core i7,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,No,162990,192977,15,3.3,3,1
DELL,XPS,Intel,Core i7,11th,16 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,Yes,135300,135553,0,5.0,5,2
Lenovo,ThinkPad,Intel,Core i7,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,3,No,No,174527,0,0,0.0,0,0
HP,Pavilion,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,99999,102500,2,0.0,0,0
MSI,Prestige,Intel,Core i7,10th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,16,1,No,No,104990,123990,15,4.0,85,9
ASUS,ZenBook,Intel,Core i7,8th,16 GB GB,DDR3,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,No,No,99990,122990,18,4.3,30,7
ASUS,ZenBook,Intel,Core i7,11th,16 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,0,No,No,94990,122990,22,0.0,0,0
Lenovo,Intel,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,14,0,No,No,110999,139000,20,0.0,0,0
ASUS,ZenBook,Intel,Core i7,8th,8 GB GB,LPDDR3,512 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,No,81990,102987,20,4.3,40,4
MSI,GF63,Intel,Core i7,9th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,2,No,No,66990,104990,36,4.5,1639,230
MSI,GF65,Intel,Core i7,10th,16 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,15.6,2,No,No,84990,123990,31,4.4,498,64
